Owner,SHA256 Hash,MD5 Hash,File,Size,Last Modified,File Created,Content Scan,File Type,Permissions,Last Accessed
Ahmad Al-ansary,ebca41a7505b38c8559d7ca4e8f8caea9e23eff147f098f1104f285af2ef7f00,8ab38282b99bbf0bd873431892c2131e,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\AI ML-based and oriented cyber attacks.pdf,8086090,Wed Jun 26 12:16:02 2024,Wed Jun 26 12:15:59 2024,,application/pdf,666,Sat Aug 10 13:20:15 2024
Ahmad Al-ansary,b90025f0f72c79191f9b299dbef88b9796f1741e40858b9deb9b2f5323ee5ade,f80aac0ce631b7807a629d40b4923957,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\AI-Powered_Cybersecurity_Evaluating_Strategies_for.pdf,182661,Mon Jun 24 20:44:51 2024,Mon Jun 24 20:44:49 2024,,application/pdf,666,Sun Jul 14 12:13:52 2024
Ahmad Al-ansary,bc13485d9edaf503089dfdc7e26f1341bdc283f02de6317c4be979f71dc73413,18eded4fda2582378817ad006e62af4b,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\AIsurvey_updated.pdf,11093661,Wed Jun 26 12:15:46 2024,Wed Jun 26 12:15:45 2024,,application/pdf,666,Wed Jul 10 12:29:54 2024
Ahmad Al-ansary,510a93821b173decb52f850a73aac7949a4ee11da69b50a24e862d806d3dc287,13f9c30efb18bcf7dd4af92beae66591,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\APA reference style.pdf,13099027,Wed Jul  3 12:56:57 2024,Wed Jul  3 12:57:21 2024,,application/pdf,666,Sat Jul 27 09:51:58 2024
Ahmad Al-ansary,d4824582e715d306a4d164f12d8d64bd6cb3e01594fea56e0ff74b0e09abdf0d,68ed7c26d5d3821e19f3874ff9f1f4d7,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\APA style.pdf,8236151,Wed Jul  3 12:57:38 2024,Wed Jul  3 12:58:46 2024,,application/pdf,666,Sat Jul 27 09:51:48 2024
Administrators,89a99624ed87b938d1e0bcb449270a4b264b012d7772621e4d6c43f2b8d9047d,5e476100e82971c7431a7f51d66be8d9,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\APPROACHES TO FRAUD DETECTION ON CREDIT CARD USING AI.pdf,517237,Mon Aug 12 19:54:48 2024,Mon Aug 12 19:54:45 2024,,application/pdf,666,Tue Aug 13 16:14:29 2024
Administrators,0609d012bf123d210c3587d1c1610074f5079217a996299123a2f7872f28a8e9,3f8b6a06de262ce79815f7199b5b1c69,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\Artificial Intelligence AI_Russell_Norvig.pdf,20876815,Mon Aug 12 20:10:08 2024,Mon Aug 12 20:09:54 2024,,application/pdf,666,Wed Aug 14 21:50:35 2024
Ahmad Al-ansary,5254b4765da3412a1f3b1605c1c1c5c3cd0337c77887db71ea2cab91a87d5426,6cc359acddba59e62a0581cf9d17b097,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\Artificial.Intelligence.A.Modern.Approach.4th.Edition.Peter.Norvig.pdf,22167263,Sun Jun 16 22:50:17 2024,Sun Jun 16 22:50:13 2024,,application/pdf,666,Sun Jun 16 22:59:10 2024
Ahmad Al-ansary,7fa344155d8f30657a160ba709f10b3d1e899247e7b1d45bb69390f3a14d94ea,f25847ff4735c9d2f8b2e83396bf79b3,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\A_Situation_Analysis_on_Cybercrime_and_i.pdf,285402,Tue Jul  9 23:14:13 2024,Tue Jul  9 23:14:10 2024,,application/pdf,666,Wed Jul 10 09:42:08 2024
Ahmad Al-ansary,741d987f3d0a1a6a89b36c79157c3f05cf96d7b5c4bf8452da4d0145ed4c7f8f,0c30d6dd8770d2d716bb58fa802ed15e,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\A_Study_on_Cyber_Crime_and_Security_Scen.pdf,190751,Wed Jul 10 14:00:33 2024,Wed Jul 10 14:00:30 2024,,application/pdf,666,Wed Jul 10 14:00:41 2024
Ahmad Al-ansary,84b3879df89cd34aeca562dd69a9d76deea46d2a6e8abb47e9ecc62552c28942,913d234486202ea5f0753043bbf042fd,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\Bank Verification Number and Fraud Prevention and Detection in.pdf,457400,Wed Jul 10 23:58:09 2024,Wed Jul 10 23:58:04 2024,,application/pdf,666,Fri Sep 20 11:30:26 2024
Ahmad Al-ansary,6b851f1aa860b7666b0ac480ba101e4a8d241d49e66443379ff522609b7934b4,4ddf4703e219c036600fd96ad8f275a4,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\CISCO Cyber threats 2024.pdf,7023799,Sun Jun 23 14:29:41 2024,Sun Jun 23 14:28:26 2024,,application/pdf,666,Tue Jun 25 21:17:58 2024
Administrators,103bdfa6c3c8456c7d7cd8a6db71267613f56cbb2c72bad97d38e310d36dba76,2903160359910ee1e9e7185a1195123a,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\CISCO Cyber threats Trends Report.pdf,2913319,Wed Sep 11 19:15:41 2024,Wed Sep 11 19:15:21 2024,,application/pdf,666,Sat Sep 14 12:53:23 2024
Ahmad Al-ansary,997a0d37a9408aba3acc10bddb6e4eebbc80910e909410030709e3c021be2d63,7db4267e0c40adc51cb16226bba21443,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\Computer Forenscis John R. Vacca.pdf,2959877,Wed Jan 24 18:25:46 2024,Wed Jan 24 18:26:24 2024,,application/pdf,666,Fri Jun 21 16:17:47 2024
Ahmad Al-ansary,4738ce3bcc117d9d648da848ed3a71d80dac584609982b2a3ce0bc5a6f68c5b0,e802eb4a721be37f01093a3897c1de17,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\Computer Forensic .pdf,2528442,Wed Jan 24 18:25:00 2024,Wed Jan 24 18:25:31 2024,,application/pdf,666,Fri Jul 19 20:55:10 2024
Administrators,94568ec6462761e0ada27c032bcc58fafed7eeebeced8bf4b826fdd86faa08ac,365cc5eba10cca32789c8be805f60da8,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\CSA-S-24-00288.pdf,1907568,Sat Jul 27 23:21:49 2024,Sat Jul 27 23:21:49 2024,,application/pdf,666,Mon Jul 29 20:29:12 2024
Ahmad Al-ansary,829460b88f650e3a57f9c27a0f23e237b905dd1cfca72df4fdf2f74946dd08b5,9bd3463c8eaab75eeeb75c1818d17f46,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\Cyber Forensics.pdf,2294003,Tue May 21 23:13:49 2024,Tue May 21 23:14:07 2024,,application/pdf,666,Mon May 27 12:16:22 2024
Ahmad Al-ansary,7cd51c78164300d51fa9bb7a159a82e59de0406b8c8b2683b6a7aabfc4d396ec,45935f1e4fa4cf1cc2679ee4095b7cee,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\cybercrime in banking sector.pdf,5723082,Sat Jul  6 17:25:13 2024,Sat Jul  6 17:24:10 2024,,application/pdf,666,Fri Jul 19 17:53:00 2024
Ahmad Al-ansary,3141623ed03460993f3083bda93847c305f48076ec92e162b2092de1ea5de756,8b804ccb5416b434019573e392ead715,"C:\Users\A-Hameed\Desktop\RESEARCH PAPER\Cybercrimes in Nigeria Analysis, Detection and Prevention.pdf",483433,Sat Jul  6 22:35:21 2024,Sat Jul  6 22:35:21 2024,,application/pdf,666,Fri Jul 19 17:43:58 2024
Administrators,f65051b5872cd461c482f3aa2af75d6703be1c0468d3771127f3282e1cf735e3,e19e69aa61e8926d8b69c8e77eb66a90,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\Cyberfraud in the Nigerian Banking Sector. the Techniques and preventive measures.pdf,893621,Sat Aug 17 15:23:09 2024,Sat Aug 17 15:23:05 2024,,application/pdf,666,Tue Sep 24 14:28:50 2024
Ahmad Al-ansary,de28d18c14389cf765686362744dcc087dd6985af95e198263360cfa4d74eb25,b4fc336e796ce3a42be531a22e6d5c7c,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\Cyber_crime_in_Nigeria_Sociotechnical_Im.pdf,423413,Sun Jul  7 16:05:01 2024,Sun Jul  7 16:04:48 2024,,application/pdf,666,Tue Jul  9 12:42:15 2024
Administrators,bf5aa87fa384243b92b0a39c2c9f9bf5f14081dfc26c48493091faa8c2db5a41,397bdae31bfbe9a19230308cbf2b03cf,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\Cyber_Warfare_and_National_Security_Challenges.pdf,863909,Fri Aug  9 23:44:26 2024,Fri Aug  9 23:44:20 2024,,application/pdf,666,Tue Aug 13 16:32:41 2024
Ahmad Al-ansary,d76d24b75ef4a1c953650903e37de13d349c0e08ef0d6bd11a63005a180d8b16,d8e455f8ecd6f1dd35340e3f45dcc0be,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\deepfake facial analysis.pdf,1876929,Wed Jul 10 12:17:58 2024,Wed Jul 10 12:17:55 2024,,application/pdf,666,Wed Jul 10 12:31:58 2024
Administrators,573a27254ba36bbcf1c51c10d17e1814b5bbc3f1d1b80158583231345ba3bae0,bc283ffb488434cb458898bfc859470f,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\Difference-between-Advising-Shaming-Ibn-Rajab.pdf,5558720,Thu Sep 12 18:51:10 2024,Thu Sep 12 18:50:44 2024,,application/pdf,666,Sun Sep 15 12:23:08 2024
Ahmad Al-ansary,1ada039951edfbb2ef79ad05819feab69bd8fe72bac9aa69227eea8d06eba57e,40bec8744eafe6271dc0587de0293199,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\Digital Evidence Casey.pdf,59685501,Tue May 28 15:28:00 2024,Tue May 28 15:30:35 2024,,application/pdf,666,Wed May 29 16:50:40 2024
Ahmad Al-ansary,b82213a56657f9527fb27edb5d49e287575a42bd142cbf6808d1f36f014e08d1,6df2592d6c9acdf05a2a2e16bd6a19ec,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\Digital forensic .pdf,4525049,Tue May 21 23:15:24 2024,Tue May 21 23:16:01 2024,,application/pdf,666,Fri Jul 19 20:54:27 2024
Ahmad Al-ansary,3479cbb88c01bb262d920749f56b0aef0a1febf32fee5ea0db83523ce3ff71f5,b0e48fe5a8056d3a55cb3b0f760fb0ce,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\Digital_Forensics_with_Open_Source_Tools.pdf,4634038,Wed May 29 16:50:40 2024,Wed May 29 16:50:38 2024,,application/pdf,666,Mon Jun 10 21:06:55 2024
Administrators,5d0b220ad0c88bba9d80f45426aef48a89d182e88956ded85c8a9d310f8d04d0,9f3b18a502641732d9d09fb305c12c66,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\faceforensics_download_v4.py,10727,Sat Sep 14 20:51:20 2024,Sat Sep 14 20:51:16 2024,,text/x-python,666,Sun Sep 15 16:11:11 2024
Administrators,983c24609a931bb0f40384e5c8c81fbcb0eb043c76f08a5d1700098f1e0e9e3a,8fb3ff09c4dfaa2a42bf3fc3c9aa6de6,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\file metadata.pdf,3825851,Tue Oct  1 23:30:05 2024,Tue Oct  1 23:29:11 2024,,application/pdf,666,Wed Oct  2 10:57:29 2024
Ahmad Al-ansary,4da8b93108f332741ca1a636e86e2d6083c50ddaaff40e8fa4e2a9e16e6b2a81,c07c30a3606400797557aa640b680be8,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\File System Forensic Analysis.pdf,4172390,Wed May 29 16:56:10 2024,Wed May 29 16:56:06 2024,,application/pdf,666,Sun Jun 16 22:50:16 2024
Ahmad Al-ansary,706ec37ae0ea0ee3a38ea512cc0d2f2de0ffda38f90aa3a7f3266571d5abbc42,3b3904194cfd3357091759e349033755,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\FORC Book 1.pdf,1815904,Tue May 21 23:15:07 2024,Tue May 21 23:15:19 2024,,application/pdf,666,Mon May 27 12:16:26 2024
Ahmad Al-ansary,f51f13e541be6a82335fb83c51128a4f729db6e29df27bc6248c74ccbccab09d,94fbacc6fc05c27d38e5136b9ff6f246,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\fraud in banking.pdf,522497,Tue Jul  9 21:01:00 2024,Tue Jul  9 21:00:51 2024,,application/pdf,666,Thu Jul 18 10:52:41 2024
Ahmad Al-ansary,0f04820bee28b55ae4aacf0a1bef3da949e3c39cd02ce6c4857bf1ea77576f1b,20475e9e767db7cbe5cf04e968e5bbfc,"C:\Users\A-Hameed\Desktop\RESEARCH PAPER\fraud management in banking, detection and prevention.pdf",1919088,Fri Jul  5 15:03:02 2024,Fri Jul  5 15:02:32 2024,,application/pdf,666,Fri Jul 19 17:53:21 2024
Ahmad Al-ansary,abb41e701d0bde043df34fbd7c5c4de1ed3171f9456b520d25fbbaa24ee5648f,ea109beadc4961fc08d87595d52c933f,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\FRAUD PREVENTION ......to be adopted.pdf,488201,Sat Jul  6 22:43:01 2024,Sat Jul  6 22:42:55 2024,,application/pdf,666,Fri Sep 20 11:30:31 2024
Ahmad Al-ansary,af3edd4efc120c70f0e2e6dc7a4e314a41f1b9eb5a7e88bc25533db631f79632,411e80d8b1bdb95077470a11ee362390,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\GPTs.pdf,2119311,Wed Jul 10 22:27:51 2024,Wed Jul 10 22:27:42 2024,,application/pdf,666,Wed Jul 10 22:44:40 2024
Ahmad Al-ansary,c4c2f8ab26d0c46786f4e97dbf5c0ce6adb03db6d125ec7ff062e18b0553b028,e31e30f01239094a87b825f1db839ce3,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\Guide to computer forensic.pdf,31204548,Tue May 21 23:14:38 2024,Tue May 21 23:15:00 2024,,application/pdf,666,Sun May 26 12:04:58 2024
Ahmad Al-ansary,0d3ac1a24a494d75819b1367d76ec972c8382a3e5046b55ec03f2f3b7e7bd916,fc014ba7788d0005d406cccd63cf2eea,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\ICT_Is_An_Integral_Strategy_For_Crimes_P.pdf,208865,Thu Jul  4 19:58:46 2024,Thu Jul  4 19:58:43 2024,,application/pdf,666,Tue Jul  9 12:46:17 2024
Administrators,2f153f5e9d55b9db935a24b9600258f418a5e91361d0db2da414bfe72fdbb01b,a353db138698ad48abf9297319024f90,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\IJIRT142609_PAPER.pdf,322359,Sat Jul 27 22:45:36 2024,Sat Jul 27 22:45:32 2024,,application/pdf,666,Mon Jul 29 11:50:32 2024
Administrators,f1978b441fa0db99b458a9f0283c65aea4321fe842adc48f6d9b21d42eb9ff5b,548fb627718b7c56a2c0ff04b27d8f4f,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\import streamlit as st.py,26,Sun Sep 15 22:49:27 2024,Sun Sep 15 22:11:38 2024,,text/plain,666,Wed Oct  2 10:57:29 2024
Ahmad Al-ansary,55b5a6fac4b56b0f730a51ff8b799edbe1e86566dcad5c65efd71a6fdeff3eb9,c3b827c5029c0c8f0f35484e10f4397a,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\international transaction in AI.pdf,9976347,Sun Jul  7 22:30:56 2024,Sun Jul  7 22:29:35 2024,,application/pdf,666,Tue Jul  9 21:00:54 2024
Administrators,0cb2bbeb4fde30c01b240116019a063f70c66b48ea0bcbf043add6b7129132a7,b4634f1f0f913fcaf81af42ae763defd,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\Islamic_Banking_in_Nigeria_Challenges_an.pdf,149614,Sat Aug 10 10:30:08 2024,Sat Aug 10 10:30:02 2024,,application/pdf,666,Tue Aug 13 16:31:21 2024
Ahmad Al-ansary,0d5b215655df6aa3e4071fd7dba7f8dfbba5675f5ac3c06ca1af330776290324,58dc1899f92c8faf06ca331367bbec88,"C:\Users\A-Hameed\Desktop\RESEARCH PAPER\LIST OF DEPOSIT MONEY BANKS AS AT 26TH APRIL, 2024 (1).pdf",43310,Sun Jul  7 11:48:59 2024,Sun Jul  7 11:48:54 2024,,application/pdf,666,Sun Jul  7 16:04:57 2024
Ahmad Al-ansary,f956575c9f0f84fcb3e9452212076059f3ebd993ced94eaa33c72e115b5b105c,0ab4b41de522ef18a7c9074bec706eac,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\MachineLearningandSecurity.pdf,27352473,Mon Jun 24 11:27:27 2024,Mon Jun 24 11:27:17 2024,,application/pdf,666,Tue Jun 25 21:07:17 2024
Ahmad Al-ansary,ae2655441824867fcaff9fc43bbe34499a4bfd75808a8815e4880fe16eb9f015,049d0f5f73b06689adf93657822e6401,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\MOBILE device threats.pdf,708650,Wed May  8 14:36:50 2024,Wed May  8 14:36:49 2024,,application/pdf,666,Wed Jun 19 23:40:35 2024
Ahmad Al-ansary,149f8714e5781917f54df55e2d86c62bbe20d62214afece529c64a59f360e179,57a6503a267e39d54759cd4bece118f6,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\Mobile-Computing-Device-Threats-Vulnerabilities-and-Risk-Factors-Are-Ubiquitous_joa_Eng_0716.pdf,626526,Wed May  8 14:36:25 2024,Wed May  8 14:36:20 2024,,application/pdf,666,Tue May 21 23:13:08 2024
Ahmad Al-ansary,a25dfa3def77bc0c8ef3ed19306aba53c9755ba30977faae0fd7510489ad729f,568aa67c790fb5ab5fb9336f2c4e92d9,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\Model Inversion Attacks that Exploit Confidence Information.pdf,1255465,Wed Jul 10 13:31:28 2024,Wed Jul 10 13:31:23 2024,,application/pdf,666,Tue Jul 30 11:13:24 2024
Ahmad Al-ansary,e5674aa412a9178ae2e768bd8a69729d8f958001c73fedbbfcd6f9c2028693e9,a5f1a726d5cdc02dd44ebf0c1443a0fb,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\Module 01 Introduction to Digital Forensic(1).pdf,634488,Tue May 21 23:14:11 2024,Tue May 21 23:14:24 2024,,application/pdf,666,Mon May 27 09:09:51 2024
Ahmad Al-ansary,4c754f0b6fae2a9bfe2ab8e8e5248e3921c05b7c354fcf334db0186cf909daf2,0685118141bb5f1bc052d2c74acb41b5,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\Online_Attacks_Types_of_Data_Breach_and.pdf,305207,Wed Jul 10 14:53:06 2024,Wed Jul 10 14:53:04 2024,,application/pdf,666,Sat Jul 27 10:58:19 2024
Ahmad Al-ansary,600315c2978a6eb8b2cd57d6c5085cb6eddc920a9f416b8d69e55cd68008ec5e,9528b9739e03c85db88495a8b3aa2171,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\Overcoming Data Breaches and Human Factors in Minimizing Threats.pdf,1687924,Fri Jun 21 16:34:58 2024,Fri Jun 21 16:34:54 2024,,application/pdf,666,Tue Jun 25 21:13:50 2024
Administrators,c6a55044652820f681c94d09b9624bfac12789bb0e5c12a4251103e6d94004c8,77576bd503b0f6490cd81890b9b26c58,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\Paper+19+(2024.6.1)+Next-Generation+Cyber+Threat+Detection+and+Mitigation+[1].pdf,365426,Fri Aug  2 10:23:07 2024,Fri Aug  2 10:23:06 2024,,application/pdf,666,Thu Sep 12 18:24:41 2024
Ahmad Al-ansary,e7be901fc3cca57b3cd64b32f675fbf2594af9c5af84b0964bf44df25d1a11bd,6ac01b28588aab4e207577f6f44de3e3,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\phishing awareness.pdf,257879,Tue Jul  9 23:05:02 2024,Tue Jul  9 23:04:57 2024,,application/pdf,666,Wed Jul 10 09:42:09 2024
Ahmad Al-ansary,5760a3a4c03e21f318512c7f8d166110d97d9ba9070902da18e6452b449eedef,a7470c7e381c85ad706e0e2e6b866005,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\Radware_ThreatReport_Report_2024_RW-459.pdf,7679372,Tue Jul 23 21:22:59 2024,Sun Jul 21 15:30:06 2024,,application/pdf,666,Fri Jul 26 16:14:02 2024
Ahmad Al-ansary,eb90bc777b6b052a5ba31852e1f0203e34de6d3885ce884634fa63c2d5258947,36ac42d6d8353df06e971a661f51648f,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\Research paper methodology.pdf,9462700,Wed Jul  3 12:52:41 2024,Wed Jul  3 12:56:41 2024,,application/pdf,666,Sat Jul 27 00:25:42 2024
Administrators,2eebf2b13c46b0adec5fd15d84b96eee659ca4b159d16b6129b2b40c7846b32e,cb48d2bd3002adf319f3123a2748ea0b,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\Retrieving personal photo from web.pdf,1127431,Wed Aug 14 18:10:05 2024,Wed Aug 14 18:09:59 2024,,application/pdf,666,Sat Sep  7 16:50:59 2024
Ahmad Al-ansary,b9f86009e5d5111468f52cde86551aaee14f87b5f4356e800b62540b61f9d3f5,59d4cb88eee7a2de93ccff4c2150b9d1,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\skills-rather-than-just-degree-1nbsped-9789789409594_compress.pdf,24564704,Wed May 22 20:51:45 2024,Wed May 22 20:52:48 2024,,application/pdf,666,Wed May 29 10:19:19 2024
Ahmad Al-ansary,14e0dc1ac8113164294697784ef4c85b98fd30f20b3e655533423d37e46d1109,700e628fa9b9a76f098aa3519272900f,"C:\Users\A-Hameed\Desktop\RESEARCH PAPER\Social Engineering Attack, Its Effects and Countermeasures in Nigeria.pdf",401506,Sat Jul  6 21:29:39 2024,Sat Jul  6 21:29:36 2024,,application/pdf,666,Sat Jul  6 21:29:44 2024
Ahmad Al-ansary,65fa60cdb237022c636a72249e0129b1ad6a432eb2607e2c12cdf9145fb47fd3,5c970193952ca4863fe3919e9a21ad29,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\synthetic_nigerian_banking_fraud_data.csv,1718003,Tue Jun 18 11:53:45 2024,Tue Jun 18 11:53:44 2024,[],text/plain,666,Fri Jun 21 16:34:57 2024
Ahmad Al-ansary,a87355591cb5c314008dc2a0ad80b478e6a004555680795b2ba72b501ebff20f,07bd5afc75f5802c6945a326d7705232,"C:\Users\A-Hameed\Desktop\RESEARCH PAPER\The Art of Memory Forensics - Detecting Malware and Threats in Windows, Linux, and Mac Memory (2014).pdf",7529617,Sun Jun 16 22:56:30 2024,Sun Jun 16 22:56:25 2024,,application/pdf,666,Tue Jun 18 11:53:48 2024
Administrators,cbf64fcec4ee5dff9015500e328d309eae5a29192b7374bb0ecaf84d4778234d,d3d19b0822449057d53722368d3ab692,C:\Users\A-Hameed\Desktop\RESEARCH PAPER\The DeepFake Detection Challenge (DFDC) Dataset.pdf,7983674,Wed Sep 11 11:30:07 2024,Wed Sep 11 11:30:02 2024,,application/pdf,666,Wed Sep 11 19:15:36 2024
